n_processos,array_size,custom,iteration,time
32,8192,true,23,0.001349
32,8192,true,24,0.001632
32,8192,true,25,0.010469
32,8192,true,26,0.001576
32,8192,true,27,0.001427
32,8192,true,28,0.001170
32,8192,true,29,0.001238
32,8192,true,30,0.001355
1,16384,true,1,0.000000
1,16384,true,2,0.000000
1,16384,true,3,0.000003
1,16384,true,4,0.000003
1,16384,true,5,0.000003
1,16384,true,6,0.000003
1,16384,true,7,0.000000
1,16384,true,8,0.000000
1,16384,true,9,0.000003
1,16384,true,10,0.000003
1,16384,true,11,0.000000
1,16384,true,12,0.000000
1,16384,true,13,0.000003
1,16384,true,14,0.000000
1,16384,true,15,0.000000
1,16384,true,16,0.000000
1,16384,true,17,0.000000
1,16384,true,18,0.000001
1,16384,true,19,0.000000
1,16384,true,20,0.000000
1,16384,true,21,0.000003
1,16384,true,22,0.000000
1,16384,true,23,0.000000
1,16384,true,24,0.000000
1,16384,true,25,0.000000
1,16384,true,26,0.000000
1,16384,true,27,0.000000
1,16384,true,28,0.000000
1,16384,true,29,0.000000
1,16384,true,30,0.000000
2,16384,true,1,0.000043
2,16384,true,2,0.000043
2,16384,true,3,0.000044
2,16384,true,4,0.000046
2,16384,true,5,0.000051
2,16384,true,6,0.000043
2,16384,true,7,0.000050
2,16384,true,8,0.000047
2,16384,true,9,0.000039
2,16384,true,10,0.000045
2,16384,true,11,0.000046
2,16384,true,12,0.000044
2,16384,true,13,0.000045
2,16384,true,14,0.000042
2,16384,true,15,0.000046
2,16384,true,16,0.000043
2,16384,true,17,0.000045
2,16384,true,18,0.000043
2,16384,true,19,0.000046
2,16384,true,20,0.000042
2,16384,true,21,0.000044
2,16384,true,22,0.000044
2,16384,true,23,0.000041
2,16384,true,24,0.000043
2,16384,true,25,0.000045
2,16384,true,26,0.000049
2,16384,true,27,0.000042
2,16384,true,28,0.000045
2,16384,true,29,0.000047
2,16384,true,30,0.000045
4,16384,true,1,0.000113
4,16384,true,2,0.000096
4,16384,true,3,0.000103
4,16384,true,4,0.000089
4,16384,true,5,0.000105
4,16384,true,6,0.000100
4,16384,true,7,0.000112
4,16384,true,8,0.000097
4,16384,true,9,0.000101
4,16384,true,10,0.000102
4,16384,true,11,0.000096
4,16384,true,12,0.000108
4,16384,true,13,0.000102
4,16384,true,14,0.000094
4,16384,true,15,0.000096
4,16384,true,16,0.000092
4,16384,true,17,0.000101
4,16384,true,18,0.000114
4,16384,true,19,0.000108
4,16384,true,20,0.000096
4,16384,true,21,0.000097
4,16384,true,22,0.000090
4,16384,true,23,0.000100
4,16384,true,24,0.000107
4,16384,true,25,0.000092
4,16384,true,26,0.000092
4,16384,true,27,0.000110
4,16384,true,28,0.000103
4,16384,true,29,0.000105
4,16384,true,30,0.000106
8,16384,true,1,0.000242
8,16384,true,2,0.000269
8,16384,true,3,0.000261
8,16384,true,4,0.000243
8,16384,true,5,0.000248
8,16384,true,6,0.000245
8,16384,true,7,0.000262
8,16384,true,8,0.000237
8,16384,true,9,0.000259
8,16384,true,10,0.000252
8,16384,true,11,0.000258
8,16384,true,12,0.000251
8,16384,true,13,0.000259
8,16384,true,14,0.000264
8,16384,true,15,0.000240
8,16384,true,16,0.000266
8,16384,true,17,0.000277
8,16384,true,18,0.000241
8,16384,true,19,0.000256
8,16384,true,20,0.000255
8,16384,true,21,0.000246
8,16384,true,22,0.000253
8,16384,true,23,0.000268
8,16384,true,24,0.000259
8,16384,true,25,0.000262
8,16384,true,26,0.000240
8,16384,true,27,0.000247
8,16384,true,28,0.000254
8,16384,true,29,0.000256
8,16384,true,30,0.000251
16,16384,true,1,0.000677
