impl,num_threads,i,grid_size,time
omp,4,26,2048,1.013817
omp,4,26,256,0.016151
omp,4,26,32,0.000375
omp,4,26,4096,4.060032
omp,4,26,512,0.065334
omp,4,26,64,0.001103
omp,4,26,8,0.000123
omp,4,27,1024,0.255950
omp,4,27,128,0.004001
omp,4,27,2048,1.025055
omp,4,27,256,0.016974
omp,4,27,32,0.000378
omp,4,27,4096,4.052069
omp,4,27,512,0.065208
omp,4,27,64,0.001101
omp,4,27,8,0.000157
omp,4,28,1024,0.254805
omp,4,28,128,0.004089
omp,4,28,2048,1.016397
omp,4,28,256,0.016059
omp,4,28,32,0.000379
omp,4,28,4096,4.082333
omp,4,28,512,0.064992
omp,4,28,64,0.001128
omp,4,28,8,0.000152
omp,4,29,1024,0.255383
omp,4,29,128,0.004031
omp,4,29,2048,1.015165
omp,4,29,256,0.016995
omp,4,29,32,0.000369
omp,4,29,4096,4.047453
omp,4,29,512,0.065534
omp,4,29,64,0.001114
omp,4,29,8,0.000149
omp,4,30,1024,0.255034
omp,4,30,128,0.004104
omp,4,30,2048,1.027443
omp,4,30,256,0.016251
omp,4,30,32,0.000378
omp,4,30,4096,4.062327
omp,4,30,512,0.064160
omp,4,30,64,0.001098
omp,4,30,8,0.000119
omp,8,1,1024,0.212993
omp,8,1,128,0.003375
omp,8,1,2048,0.842148
omp,8,1,256,0.013223
omp,8,1,32,0.000358
omp,8,1,4096,3.349014
omp,8,1,512,0.052334
omp,8,1,64,0.000957
omp,8,1,8,0.000169
omp,8,2,1024,0.207156
omp,8,2,128,0.003353
omp,8,2,2048,0.841370
omp,8,2,256,0.013364
omp,8,2,32,0.000358
omp,8,2,4096,3.333973
omp,8,2,512,0.051875
omp,8,2,64,0.000957
omp,8,2,8,0.000157
omp,8,3,1024,0.206774
omp,8,3,128,0.003354
omp,8,3,2048,0.829505
omp,8,3,256,0.013267
omp,8,3,32,0.000356
omp,8,3,4096,3.369873
omp,8,3,512,0.051983
omp,8,3,64,0.000971
omp,8,3,8,0.000179
omp,8,4,1024,0.208750
omp,8,4,128,0.003345
omp,8,4,2048,0.836737
omp,8,4,256,0.013282
omp,8,4,32,0.000356
omp,8,4,4096,3.357963
omp,8,4,512,0.052941
omp,8,4,64,0.000946
omp,8,4,8,0.000177
omp,8,5,1024,0.212075
omp,8,5,128,0.003386
omp,8,5,2048,0.849825
omp,8,5,256,0.013030
omp,8,5,32,0.000345
omp,8,5,4096,3.333906
omp,8,5,512,0.051891
omp,8,5,64,0.000940
omp,8,5,8,0.000173
omp,8,6,1024,0.209214
omp,8,6,128,0.003374
omp,8,6,2048,0.835313
omp,8,6,256,0.013083
omp,8,6,32,0.000341
omp,8,6,4096,3.477730
omp,8,6,512,0.051855
omp,8,6,64,0.000962
omp,8,6,8,0.000172
omp,8,7,1024,0.210698
omp,8,7,128,0.003368
omp,8,7,2048,0.835255
omp,8,7,256,0.013072
omp,8,7,32,0.000359
omp,8,7,4096,3.392248
omp,8,7,512,0.052052
omp,8,7,64,0.000964
omp,8,7,8,0.000152
omp,8,8,1024,0.215825
omp,8,8,128,0.003454
omp,8,8,2048,0.881207
omp,8,8,256,0.013135
omp,8,8,32,0.000364
omp,8,8,4096,3.412837
omp,8,8,512,0.053033
omp,8,8,64,0.000940
omp,8,8,8,0.000151
omp,8,9,1024,0.213398
omp,8,9,128,0.003371
omp,8,9,2048,0.860747
omp,8,9,256,0.013019
omp,8,9,32,0.000352
omp,8,9,4096,3.403141
omp,8,9,512,0.051956
omp,8,9,64,0.000934
omp,8,9,8,0.000178
omp,8,10,1024,0.207032
omp,8,10,128,0.003346
omp,8,10,2048,0.832707
omp,8,10,256,0.013244
omp,8,10,32,0.000382
omp,8,10,4096,3.419769
omp,8,10,512,0.051841
omp,8,10,64,0.000939
omp,8,10,8,0.000154
omp,8,11,1024,0.208575
omp,8,11,128,0.003350
omp,8,11,2048,0.847790
omp,8,11,256,0.013257
